Year,China,Japan,"Korea, Rep."
1960,89.52054151,478.9953402,158.2113022
1961,75.80583793,563.5867598,93.83175915
1962,70.90941167,633.6403152,106.1310977
1963,74.31364345,717.8669152,146.3030553
1964,85.49855516,835.6572525,123.5901265
1965,98.48677775,919.7766882,108.7103618
1966,104.3245662,1058.503561,133.4535641
1967,96.58953194,1228.90921,161.1206722
1968,91.47271831,1450.619652,198.3609697
1969,100.1299033,1669.0982,243.3388027
1970,113.1629916,2037.559901,279.1251975
1971,118.6545778,2272.077802,300.7648371
1972,131.8835612,2967.041996,323.5961525
1973,157.0903743,3997.84112,405.8829266
1974,160.1400937,4353.824355,561.5671868
1975,178.3418196,4659.120115,615.2014185
1976,165.4055404,5197.806697,830.6991851
1977,185.4228329,6335.787627,1050.898003
1978,156.3963885,8821.843492,1398.478756
1979,183.9831522,9105.136097,1773.526846
1980,194.8047222,9465.379714,1704.469739
1981,197.0714745,10361.32306,1870.338734
1982,203.3349195,9578.113803,1977.641636
1983,225.4319289,10425.40682,2180.494844
1984,250.713969,10984.86583,2390.673152
1985,294.4588485,11584.64933,2457.327997
1986,281.9281209,17111.85373,2803.368764
1987,251.811957,20745.25209,3510.99002
1988,283.5376952,25051.85432,4686.137325
1989,310.8819124,24813.29938,5736.903807
1990,317.884673,25359.34702,6516.305759
1991,333.1421454,28925.04158,7523.477002
1992,366.4606923,31464.54905,8001.540992
1993,377.3898395,35765.91409,8740.945603
1994,473.4922787,39268.56687,10205.80747
1995,609.6566792,43440.36787,12332.97935
1996,709.4137551,38436.92631,13137.90807
1997,781.7441643,35021.71909,12131.8747
1998,828.5804793,31902.7671,8085.323528
1999,873.2870617,36026.55608,10409.32689
2000,959.3724836,38532.04088,11947.57913
2001,1053.108243,33846.46564,11252.90755
2002,1148.50829,32289.35054,12782.52553
2003,1288.643252,34808.39092,14209.38852
2004,1508.668098,37688.72234,15907.66583
2005,1753.417829,37217.64873,18639.52221
2006,2099.229435,35433.98896,20888.38015
2007,2693.969827,35275.22843,23060.70788
2008,3468.304463,39339.29757,20430.63946
2009,3832.235952,40855.17564,18291.9196
2010,4550.453596,44507.67639,22086.95292
2011,5618.132491,48167.99727,24079.78852
2012,6316.918863,48603.47665,24358.78218
2013,7050.64592,40454.44746,25890.01867
2014,7651.366044,38109.41211,27811.36638
2015,8033.388043,34524.46986,27105.07623
2016,8078.790474,38794.33094,27608.24743
2017,8759.041578,38331.9794,29742.83886
2018,9770.847088,39286.73765,31362.75147